ItemName,Description,CategoryName,Price,NumItems,Created,LastModified,SellWithinNumDays,LowInventoryThreshold,PromotionPercentOff
Smartphone,High-end smartphone with great camera,Electronics,699.99,25,2019-12-15,1920-01-05,180,5,0.0
Laptop,Business laptop with long battery life,Electronics,1199.99,12,2025-01-10,2025-01-10,120,3,0.05
Wireless Earbuds,Noise cancelling bluetooth earbuds,Electronics,129.99,3,2024-10-20,2025-02-01,90,10,0.15
Smart Watch,Fitness tracking smartwatch,Electronics,249.99,18,2025-01-05,2025-01-05,150,5,0.0
Design Patterns,Programming design patterns book,Books,49.99,2,2024-08-10,2024-12-15,365,3,0.0
Database Systems,Comprehensive database textbook,Books,79.99,1,2019-11-20,2025-01-10,180,5,0.1
Winter Jacket,Warm winter jacket with hood,Clothing,89.99,15,2024-09-01,2024-09-01,60,5,0.0
Summer Dress,Light cotton summer dress,Clothing,39.99,8,2024-05-15,2024-05-15,120,3,0.25
Denim Jeans,Classic fit jeans,Clothing,59.99,20,2025-01-15,2025-01-15,365,5,0.0
Table Lamp,Modern design table lamp,HomeDecor,45.99,7,2024-11-10,2024-12-20,90,5,0.1
Wall Clock,Minimalist wall clock,HomeDecor,29.99,12,2024-10-05,2024-10-05,180,3,0.0
Throw Pillows,Decorative throw pillows set of 2,HomeDecor,24.99,4,2024-12-01,2024-12-01,120,5,0.15
Hammer,Standard claw hammer,Tools,19.99,35,2024-08-15,2024-08-15,730,10,0.0
Screwdriver Set,Set of 10 screwdrivers,Tools,34.99,18,2024-09-20,2024-09-20,730,5,0.05
Building Blocks,Educational building blocks,Toys,29.99,10,2024-11-25,2025-01-02,90,5,0.1
Puzzle,1000 piece landscape puzzle,Toys,19.99,2,2019-12-10,2024-12-10,180,3,0.0
Premium Coffee,Gourmet coffee beans,Food,14.99,8,2025-01-01,2025-01-01,30,5,0.0
Chocolate Box,Assorted chocolates gift box,Food,24.99,15,2025-01-10,2025-01-10,45,3,0.0
Notebook,Premium hardcover notebook,OfficeSupplies,12.99,25,2024-10-10,2024-10-10,365,10,0.50
Pen Set,Set of 5 premium pens,OfficeSupplies,18.99,4,2024-11-15,2024-11-15,180,5,0.65
